# The following table is formatted as tab separated values.
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_canonical_start_codon	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Bo1g039080.1_exon_8	GENE_Bo1g039080.1_exon_8	transcript:Bo1g039080.1	protein_coding	0	1	2	351	0	0	0	0	187	0	0	0	22	2	0	0	0	0	0	0	0	0	0	0	1	142
gene:Bo1g039080	gene:Bo1g039080	Bo1g039080.1	protein_coding	0	0	0	354	0	0	0	0	142	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	187
Bo7g109590.1_exon_8	GENE_Bo7g109590.1_exon_8	transcript:Bo7g109590.1	protein_coding	0	6	2	257	0	0	1	0	85	0	0	0	49	1	0	0	0	0	0	1	0	0	0	0	5	124
gene:Bo7g109590	gene:Bo7g109590	Bo7g109590.1	protein_coding	0	0	0	265	0	0	0	0	124	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	85
Bo2g062650.1_exon_7	GENE_Bo2g062650.1_exon_7	transcript:Bo2g062650.1	protein_coding	3	1	5	305	0	0	1	0	188	0	1	0	9	5	0	0	0	1	0	2	0	1	0	0	0	110
gene:Bo2g062650	gene:Bo2g062650	Bo2g062650.1	protein_coding	0	0	0	314	0	0	0	0	110	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	188
Bo6g095760.1_exon_1	GENE_Bo6g095760.1_exon_1	transcript:Bo6g095760.1	protein_coding	0	0	0	149	0	0	0	0	44	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	84
gene:Bo6g095760	gene:Bo6g095760	Bo6g095760.1	protein_coding	0	0	0	149	0	0	0	0	44	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	84
Bo6g108600.1_exon_8	GENE_Bo6g108600.1_exon_8	transcript:Bo6g108600.1	protein_coding	0	8	8	322	0	0	0	0	152	0	0	0	55	8	0	0	0	0	0	1	0	0	0	0	7	116
gene:Bo6g108600	gene:Bo6g108600	Bo6g108600.1	protein_coding	0	0	0	338	0	0	0	0	116	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	152
Bo3g107650.1_exon_1	GENE_Bo3g107650.1_exon_1	transcript:Bo3g107650.1	protein_coding	0	0	0	69	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
gene:Bo3g107650	gene:Bo3g107650	Bo3g107650.1	protein_coding	0	0	0	69	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
Bo1g157390.1_exon_1	GENE_Bo1g157390.1_exon_1	transcript:Bo1g157390.1	protein_coding	0	1	3	192	0	0	0	0	53	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	139
gene:Bo1g157390	gene:Bo1g157390	Bo1g157390.1	protein_coding	0	0	0	196	0	0	0	0	53	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	139
Bo3g055600.1_exon_1	GENE_Bo3g055600.1_exon_1	transcript:Bo3g055600.1	protein_coding	0	0	2	180	0	0	0	0	72	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	108
gene:Bo3g055600	gene:Bo3g055600	Bo3g055600.1	protein_coding	0	0	0	182	0	0	0	0	108	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	72
Bo9g163730.1_exon_1	GENE_Bo9g163730.1_exon_1	transcript:Bo9g163730.1	protein_coding	0	1	2	225	0	0	0	0	87	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	136
gene:Bo9g163730	gene:Bo9g163730	Bo9g163730.1	protein_coding	0	0	0	228	0	0	0	0	87	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	136
Bo2g012810.1_exon_1	GENE_Bo2g012810.1_exon_1	transcript:Bo2g012810.1	protein_coding	2	6	10	71	2	0	0	0	6	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	6	65
gene:Bo2g012810	gene:Bo2g012810	Bo2g012810.1	protein_coding	0	0	0	89	0	0	0	0	65	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	6
Bo9g163720.1_exon_1	GENE_Bo9g163720.1_exon_1	transcript:Bo9g163720.1	protein_coding	0	2	7	129	0	0	1	0	56	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	73
gene:Bo9g163720	gene:Bo9g163720	Bo9g163720.1	protein_coding	0	0	0	138	0	0	0	0	56	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	73
Bo5g004560.1_exon_4	GENE_Bo5g004560.1_exon_4	transcript:Bo5g004560.1	protein_coding	1	17	9	221	0	2	0	0	99	0	0	0	53	7	0	0	0	0	1	0	0	0	0	0	17	70
gene:Bo5g004560	gene:Bo5g004560	Bo5g004560.1	protein_coding	0	0	0	248	0	0	0	0	70	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	99
Bo8g002920.1_exon_4	GENE_Bo8g002920.1_exon_4	transcript:Bo8g002920.1	protein_coding	0	0	0	134	0	0	0	0	37	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	93
gene:Bo8g002920	gene:Bo8g002920	Bo8g002920.1	protein_coding	0	0	0	134	0	0	0	0	93	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	37
Bo6g121240.1_exon_17	GENE_Bo6g121240.1_exon_17	transcript:Bo6g121240.1	protein_coding	0	6	6	116	0	0	0	0	51	0	0	0	15	6	0	0	0	0	0	0	0	0	0	0	6	50
gene:Bo6g121240	gene:Bo6g121240	Bo6g121240.1	protein_coding	0	0	0	128	0	0	0	0	50	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	51
Bo4g159930.1_exon_1	GENE_Bo4g159930.1_exon_1	transcript:Bo4g159930.1	protein_coding	2	16	28	299	1	1	0	6	101	0	2	0	30	20	0	0	0	0	0	1	0	0	0	0	15	169
gene:Bo4g159930	gene:Bo4g159930	Bo4g159930.1	protein_coding	0	0	0	345	0	0	0	0	101	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	169
Bo8g098940.1_exon_1	GENE_Bo8g098940.1_exon_1	transcript:Bo8g098940.1	protein_coding	2	12	20	260	2	1	2	1	145	0	2	0	26	14	0	0	0	0	0	4	0	0	0	0	11	90
gene:Bo8g098940	gene:Bo8g098940	Bo8g098940.1	protein_coding	0	0	0	294	0	0	0	0	145	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	90
Bo9g183540.1_exon_1	GENE_Bo9g183540.1_exon_1	transcript:Bo9g183540.1	protein_coding	0	12	3	219	0	1	0	0	132	0	0	0	14	2	0	0	0	0	0	3	0	0	0	0	9	76
gene:Bo9g183540	gene:Bo9g183540	Bo9g183540.1	protein_coding	0	0	0	234	0	0	0	0	132	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	76
Bo1g006110.1_exon_2	GENE_Bo1g006110.1_exon_2	transcript:Bo1g006110.1	protein_coding	0	0	1	9	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gene:Bo1g006110	gene:Bo1g006110	Bo1g006110.1	protein_coding	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9
Bo3g156810.1_exon_1	GENE_Bo3g156810.1_exon_1	transcript:Bo3g156810.1	protein_coding	0	0	2	120	0	0	0	0	63	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	57
gene:Bo3g156810	gene:Bo3g156810	Bo3g156810.1	protein_coding	0	0	0	122	0	0	0	0	63	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	57
Bo3g156810.1_exon_1	GENE_Bo3g156810.1_exon_1	transcript:Bo3g156810.1	protein_coding	0	0	2	120	0	0	0	0	63	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	57
gene:Bo3g156810	gene:Bo3g156810	Bo3g156810.1	protein_coding	0	0	0	122	0	0	0	0	63	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	57
Bo7g117660.1_exon_1	GENE_Bo7g117660.1_exon_1	transcript:Bo7g117660.1	protein_coding	0	2	2	61	0	0	0	0	13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	48
gene:Bo7g117660	gene:Bo7g117660	Bo7g117660.1	protein_coding	0	0	0	65	0	0	0	0	13	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	48
Bo3g005470.1_exon_7	GENE_Bo3g005470.1_exon_7	transcript:Bo3g005470.1	protein_coding	0	3	3	209	0	0	0	0	83	0	0	0	70	3	0	0	0	0	0	0	0	0	0	0	3	56
gene:Bo3g005470	gene:Bo3g005470	Bo3g005470.1	protein_coding	0	0	0	215	0	0	0	0	56	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	83
Bo3g005470.1_exon_7	GENE_Bo3g005470.1_exon_7	transcript:Bo3g005470.1	protein_coding	0	3	3	209	0	0	0	0	83	0	0	0	70	3	0	0	0	0	0	0	0	0	0	0	3	56
gene:Bo3g005470	gene:Bo3g005470	Bo3g005470.1	protein_coding	0	0	0	215	0	0	0	0	56	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	83
Bo3g024250.1_exon_1	GENE_Bo3g024250.1_exon_1	transcript:Bo3g024250.1	protein_coding	0	0	2	126	0	0	0	0	41	0	0	0	29	2	0	0	0	0	0	0	0	0	0	0	0	56
gene:Bo3g024250	gene:Bo3g024250	Bo3g024250.1	protein_coding	0	0	0	128	0	0	0	0	41	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	56
Bo3g024250.1_exon_1	GENE_Bo3g024250.1_exon_1	transcript:Bo3g024250.1	protein_coding	0	0	2	126	0	0	0	0	41	0	0	0	29	2	0	0	0	0	0	0	0	0	0	0	0	56
gene:Bo3g024250	gene:Bo3g024250	Bo3g024250.1	protein_coding	0	0	0	128	0	0	0	0	41	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	56
Bo3g024250.1_exon_1	GENE_Bo3g024250.1_exon_1	transcript:Bo3g024250.1	protein_coding	0	0	2	126	0	0	0	0	41	0	0	0	29	2	0	0	0	0	0	0	0	0	0	0	0	56
gene:Bo3g024250	gene:Bo3g024250	Bo3g024250.1	protein_coding	0	0	0	128	0	0	0	0	41	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	56
Bo3g024250.1_exon_1	GENE_Bo3g024250.1_exon_1	transcript:Bo3g024250.1	protein_coding	0	0	2	126	0	0	0	0	41	0	0	0	29	2	0	0	0	0	0	0	0	0	0	0	0	56
gene:Bo3g024250	gene:Bo3g024250	Bo3g024250.1	protein_coding	0	0	0	128	0	0	0	0	41	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	56
