# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_canonical_start_codon	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Bo1g002460.1_exon_2	GENE_Bo1g002460.1_exon_2	transcript:Bo1g002460.1	protein_coding	0	9	4	228	0	0	1	1	110	0	0	0	9	2	0	0	0	0	0	0	0	0	0	0	9	109
Bo1g002460.1_exon_2	GENE_Bo1g002460.1_exon_2	transcript:Bo1g002460.1	protein_coding	0	9	4	228	0	0	1	1	110	0	0	0	9	2	0	0	0	0	0	0	0	0	0	0	9	109
Bo1g006110.1_exon_2	GENE_Bo1g006110.1_exon_2	transcript:Bo1g006110.1	protein_coding	0	0	1	9	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bo1g039080.1_exon_8	GENE_Bo1g039080.1_exon_8	transcript:Bo1g039080.1	protein_coding	0	1	2	351	0	0	0	0	187	0	0	0	22	2	0	0	0	0	0	0	0	0	0	0	1	142
Bo1g157390.1_exon_1	GENE_Bo1g157390.1_exon_1	transcript:Bo1g157390.1	protein_coding	0	1	3	192	0	0	0	0	53	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	139
Bo2g005260.1_exon_4	GENE_Bo2g005260.1_exon_4	transcript:Bo2g005260.1	protein_coding	1	13	7	431	0	0	0	0	233	0	1	0	51	7	0	0	0	0	0	7	1	0	0	0	7	153
Bo2g012810.1_exon_1	GENE_Bo2g012810.1_exon_1	transcript:Bo2g012810.1	protein_coding	2	6	10	71	2	0	0	0	6	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	6	65
Bo2g012820.1_exon_11	GENE_Bo2g012820.1_exon_11	transcript:Bo2g012820.1	protein_coding	0	4	4	206	0	1	0	0	58	0	0	0	15	3	0	0	0	0	0	1	0	0	0	0	3	134
Bo2g026650.1_exon_1	GENE_Bo2g026650.1_exon_1	transcript:Bo2g026650.1	protein_coding	0	0	1	108	0	0	0	1	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
Bo2g032410.1_exon_1	GENE_Bo2g032410.1_exon_1	transcript:Bo2g032410.1	protein_coding	0	2	7	146	0	0	0	0	134	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	12
